u,y
0.00000000e+00, 0.00000000e+00
2.62238942e-02, 1.00100096e-05
5.24471290e-02, 2.00200193e-05
7.86704123e-02, 3.00300289e-05
1.04807675e-01, 4.00400386e-05
1.31058186e-01, 5.00500464e-05
1.57308698e-01, 6.00600542e-05
1.83559075e-01, 7.00700621e-05
2.09703892e-01, 8.00800699e-05
2.35843614e-01, 9.00900777e-05
2.61983246e-01, 1.00100086e-04
2.88111806e-01, 1.10110093e-04
3.14079463e-01, 1.20120101e-04
3.40046942e-01, 1.30130109e-04
3.66014749e-01, 1.40140124e-04
3.91895920e-01, 1.50150139e-04
4.17772204e-01, 1.60160154e-04
4.43651170e-01, 1.70170169e-04
4.69586074e-01, 1.80180185e-04
4.95446980e-01, 1.90190200e-04
5.21293581e-01, 2.00200215e-04
5.47140837e-01, 2.10210230e-04
5.72974622e-01, 2.20220245e-04
5.98805845e-01, 2.30230260e-04
6.24637246e-01, 2.40240275e-04
6.50436163e-01, 2.50250276e-04
6.73606873e-01, 2.60260276e-04
6.96156621e-01, 2.70270277e-04
7.18706191e-01, 2.80280277e-04
7.41255879e-01, 2.90290278e-04
7.63805389e-01, 3.00300278e-04
7.85917342e-01, 3.10310279e-04
8.07907045e-01, 3.20320280e-04
8.29896808e-01, 3.30330280e-04
8.51158500e-01, 3.40340281e-04
8.72386932e-01, 3.50350281e-04
8.92790914e-01, 3.60360282e-04
9.10640359e-01, 3.70370282e-04
9.28489864e-01, 3.80380283e-04
9.46339130e-01, 3.90390283e-04
9.64188218e-01, 4.00400284e-04
9.82037306e-01, 4.10410285e-04
9.99987483e-01, 4.20420285e-04
1.01541448e+00, 4.30430286e-04
1.02942371e+00, 4.40440286e-04
1.04343295e+00, 4.50450287e-04
1.05744565e+00, 4.60460287e-04
1.07147825e+00, 4.70470288e-04
1.08551455e+00, 4.80480288e-04
1.09955084e+00, 4.90490289e-04
1.11040938e+00, 5.00500319e-04
1.11966085e+00, 5.10510348e-04
1.12889791e+00, 5.20520378e-04
1.13813460e+00, 5.30530408e-04
1.14737165e+00, 5.40540437e-04
1.15660834e+00, 5.50550467e-04
1.16584527e+00, 5.60560497e-04
1.17240977e+00, 5.70570526e-04
1.17787302e+00, 5.80580556e-04
1.18333650e+00, 5.90590585e-04
1.18879998e+00, 6.00600615e-04
1.19385505e+00, 6.10610645e-04
1.19838321e+00, 6.20620674e-04
1.20112693e+00, 6.30630704e-04
1.20141423e+00, 6.40640734e-04
1.20170188e+00, 6.50650763e-04
1.20198941e+00, 6.60660793e-04
1.20227695e+00, 6.70670823e-04
1.20247066e+00, 6.80680852e-04
1.20190501e+00, 6.90690882e-04
1.20035124e+00, 7.00700912e-04
1.19568968e+00, 7.10710941e-04
1.19102752e+00, 7.20720971e-04
1.18636584e+00, 7.30731001e-04
1.18170404e+00, 7.40741030e-04
1.17704225e+00, 7.50751060e-04
1.17238057e+00, 7.60761090e-04
1.16736948e+00, 7.70771119e-04
1.15876842e+00, 7.80781149e-04
1.15009058e+00, 7.90791179e-04
1.14147305e+00, 8.00801208e-04
1.13285518e+00, 8.10811238e-04
1.12423730e+00, 8.20821268e-04
1.11561966e+00, 8.30831297e-04
1.10700178e+00, 8.40841327e-04
1.09838378e+00, 8.50851357e-04
1.08579326e+00, 8.60861386e-04
1.07311904e+00, 8.70871416e-04
1.06044447e+00, 8.80881445e-04
1.04777002e+00, 8.90891475e-04
1.03509545e+00, 9.00901505e-04
1.02242112e+00, 9.10911534e-04
1.00976872e+00, 9.20921564e-04
9.97240365e-01, 9.30931594e-04
9.83359754e-01, 9.40941623e-04
9.70837951e-01, 9.50951653e-04
9.58316147e-01, 9.60961683e-04
9.45794582e-01, 9.70971712e-04
9.33272719e-01, 9.80981742e-04
9.20751214e-01, 9.90991713e-04
9.08229470e-01, 1.00100168e-03
8.95707846e-01, 1.01101166e-03
8.83186102e-01, 1.02102163e-03
8.70664597e-01, 1.03103160e-03
8.58143151e-01, 1.04104157e-03
8.45183969e-01, 1.05105154e-03
8.32132816e-01, 1.06106151e-03
8.18735123e-01, 1.07107149e-03
8.05049896e-01, 1.08108146e-03
7.91364789e-01, 1.09109143e-03
7.77679622e-01, 1.10110140e-03
7.63994515e-01, 1.11111137e-03
7.50309408e-01, 1.12112134e-03
7.36624420e-01, 1.13113131e-03
7.22939372e-01, 1.14114129e-03
7.09254265e-01, 1.15115126e-03
6.96102500e-01, 1.16116123e-03
6.83439970e-01, 1.17117120e-03
6.70777678e-01, 1.18118117e-03
6.58115506e-01, 1.19119114e-03
6.45733654e-01, 1.20120111e-03
6.33394122e-01, 1.21121109e-03
6.21054530e-01, 1.22122106e-03
6.08714879e-01, 1.23123103e-03
5.96375585e-01, 1.24124100e-03
5.84036231e-01, 1.25125097e-03
5.71696877e-01, 1.26126094e-03
5.59445679e-01, 1.27127091e-03
5.47511578e-01, 1.28128089e-03
5.35577476e-01, 1.29129086e-03
5.23643315e-01, 1.30130083e-03
5.11703491e-01, 1.31131080e-03
5.00217378e-01, 1.32132077e-03
4.88726139e-01, 1.33133074e-03
4.77234900e-01, 1.34134071e-03
4.65743482e-01, 1.35135069e-03
4.54251885e-01, 1.36136066e-03
4.43485022e-01, 1.37137063e-03
4.33727562e-01, 1.38138060e-03
4.23970163e-01, 1.39139057e-03
4.14212644e-01, 1.40140054e-03
4.04455155e-01, 1.41141051e-03
3.94697696e-01, 1.42142049e-03
3.85268569e-01, 1.43143046e-03
3.75900239e-01, 1.44144043e-03
3.66531730e-01, 1.45145040e-03
3.57163161e-01, 1.46146037e-03
3.48801076e-01, 1.47147034e-03
3.40814501e-01, 1.48148031e-03
3.32827896e-01, 1.49149029e-03
3.24841380e-01, 1.50150026e-03
3.16854924e-01, 1.51151023e-03
3.08868438e-01, 1.52152020e-03
