,Panels   4.5°-15.00m/s, , 
    -1.473121,    -0.2401049, , 
    -1.465614,    -0.3015314, , 
    -1.450639,    -0.3480885, , 
    -1.428272,    -0.4128675, , 
    -1.398626,    -0.4683814, , 
    -1.361854,    -0.5089997, , 
    -1.318142,    -0.5352078, , 
    -1.267713,    -0.5492585, , 
    -1.210824,    -0.5537085, , 
    -1.147764,    -0.5508998, , 
    -1.078857,    -0.5428058, , 
    -1.004451,    -0.5309995, , 
   -0.9249271,     -0.516709, , 
   -0.8406899,    -0.5008518, , 
   -0.7521687,    -0.4840992, , 
   -0.6598147,     -0.466925, , 
   -0.5640984,    -0.4496434, , 
   -0.4655076,    -0.4324316, , 
   -0.3645447,     -0.415341, , 
   -0.2617241,    -0.3982889, , 
   -0.1575698,    -0.3809423, , 
  -0.05261265,    -0.3622762, , 
   0.05261265,    -0.3622762, , 
    0.1575698,    -0.3809423, , 
    0.2617241,    -0.3982889, , 
    0.3645447,     -0.415341, , 
    0.4655076,    -0.4324316, , 
    0.5640984,    -0.4496434, , 
    0.6598147,     -0.466925, , 
    0.7521687,    -0.4840992, , 
    0.8406899,    -0.5008518, , 
    0.9249271,     -0.516709, , 
     1.004451,    -0.5309995, , 
     1.078857,    -0.5428058, , 
     1.147764,    -0.5508998, , 
     1.210824,    -0.5537085, , 
     1.267713,    -0.5492585, , 
     1.318142,    -0.5352078, , 
     1.361854,    -0.5089997, , 
     1.398626,    -0.4683814, , 
     1.428272,    -0.4128675, , 
     1.450639,    -0.3480885, , 
     1.465614,    -0.3015314, , 
     1.473121,    -0.2401049, , 

