,VLM1 -   -1.0°-15.00m/s, , 
    -1.483333,  -0.007167799, , 
        -1.45,  -0.004014487, , 
    -1.416667,  -0.002350789, , 
    -1.372222,    -0.1591336, , 
    -1.316667,    -0.1708758, , 
    -1.261111,    -0.1749157, , 
    -1.205556,    -0.1765193, , 
        -1.15,    -0.1772527, , 
    -1.094444,    -0.1776101, , 
    -1.038889,    -0.1777639, , 
   -0.9833333,    -0.1777642, , 
   -0.9277778,    -0.1775857, , 
   -0.8763158,    -0.1776182, , 
   -0.8289474,    -0.1778686, , 
   -0.7815789,    -0.1779963, , 
   -0.7342105,    -0.1780525, , 
   -0.6868421,    -0.1780673, , 
   -0.6394737,    -0.1780552, , 
   -0.5921053,    -0.1780238, , 
   -0.5447368,    -0.1779773, , 
   -0.4973684,    -0.1779181, , 
        -0.45,    -0.1778473, , 
   -0.4026316,    -0.1777654, , 
   -0.3552632,    -0.1776722, , 
   -0.3078947,    -0.1775672, , 
   -0.2605263,    -0.1774496, , 
   -0.2131579,    -0.1773185, , 
   -0.1657895,    -0.1771746, , 
   -0.1184211,    -0.1770234, , 
  -0.07105263,    -0.1768861, , 
  -0.02368421,    -0.1768357, , 
   0.02368421,    -0.1768357, , 
   0.07105263,    -0.1768861, , 
    0.1184211,    -0.1770234, , 
    0.1657895,    -0.1771746, , 
    0.2131579,    -0.1773185, , 
    0.2605263,    -0.1774496, , 
    0.3078947,    -0.1775672, , 
    0.3552632,    -0.1776722, , 
    0.4026316,    -0.1777654, , 
         0.45,    -0.1778473, , 
    0.4973684,    -0.1779181, , 
    0.5447368,    -0.1779773, , 
    0.5921053,    -0.1780238, , 
    0.6394737,    -0.1780552, , 
    0.6868421,    -0.1780673, , 
    0.7342105,    -0.1780525, , 
    0.7815789,    -0.1779963, , 
    0.8289474,    -0.1778686, , 
    0.8763158,    -0.1776182, , 
    0.9277778,    -0.1775857, , 
    0.9833333,    -0.1777642, , 
     1.038889,    -0.1777639, , 
     1.094444,    -0.1776101, , 
         1.15,    -0.1772527, , 
     1.205556,    -0.1765193, , 
     1.261111,    -0.1749157, , 
     1.316667,    -0.1708758, , 
     1.372222,    -0.1591336, , 
     1.416667,  -0.002350789, , 
         1.45,  -0.004014487, , 
     1.483333,  -0.007167799, , 

