,VLM1 -   -1.0°-15.00m/s,VLM1 -   -1.0°-15.00m/s,VLM1 -   -1.0°-15.00m/s
-1.483333,0.265196,0,-0.007167799
-1.45,0.3211177,0.007852863,-0.004014487
-1.416667,0.2994226,0.02521452,-0.002350789
-1.372222,0.4956371,0.06018521,-0.1591336
-1.316667,0.5648668,0.1450657,-0.1708758
-1.261111,0.6167446,0.276862,-0.1749157
-1.205556,0.6605345,0.4598817,-0.1765193
-1.15,0.6995869,0.6977613,-0.1772527
-1.094444,0.7354505,0.993744,-0.1776101
-1.038889,0.7689441,1.350809,-0.1777639
-0.9833333,0.8005021,1.771739,-0.1777642
-0.9277778,0.8302489,2.259156,-0.1775857
-0.8763158,0.8544061,2.774537,-0.1776182
-0.8289474,0.8735743,3.300513,-0.1778686
-0.7815789,0.8916951,3.879233,-0.1779963
-0.7342105,0.9090181,4.51179,-0.1780525
-0.6868421,0.9256758,5.199228,-0.1780673
-0.6394737,0.941749,5.942549,-0.1780552
-0.5921053,0.9572892,6.742723,-0.1780238
-0.5447368,0.9723269,7.600686,-0.1779773
-0.4973684,0.9868761,8.517345,-0.1779181
-0.45,1.000936,9.493578,-0.1778473
-0.4026316,1.014489,10.53023,-0.1777654
-0.3552632,1.027503,11.62813,-0.1776722
-0.3078947,1.039926,12.78805,-0.1775672
-0.2605263,1.051678,14.01075,-0.1774496
-0.2131579,1.062647,15.29694,-0.1773185
-0.1657895,1.07267,16.64727,-0.1771746
-0.1184211,1.081504,18.06237,-0.1770234
-0.07105263,1.088767,19.54276,-0.1768861
-0.02368421,1.093771,21.08889,-0.1768357
0.02368421,1.093771,21.08889,-0.1768357
0.07105263,1.088767,19.54276,-0.1768861
0.1184211,1.081504,18.06237,-0.1770234
0.1657895,1.07267,16.64727,-0.1771746
0.2131579,1.062647,15.29694,-0.1773185
0.2605263,1.051678,14.01075,-0.1774496
0.3078947,1.039926,12.78805,-0.1775672
0.3552632,1.027503,11.62813,-0.1776722
0.4026316,1.014489,10.53023,-0.1777654
0.45,1.000936,9.493578,-0.1778473
0.4973684,0.9868761,8.517345,-0.1779181
0.5447368,0.9723269,7.600686,-0.1779773
0.5921053,0.9572892,6.742723,-0.1780238
0.6394737,0.941749,5.942549,-0.1780552
0.6868421,0.9256758,5.199228,-0.1780673
0.7342105,0.9090181,4.51179,-0.1780525
0.7815789,0.8916951,3.879233,-0.1779963
0.8289474,0.8735743,3.300512,-0.1778686
0.8763158,0.8544061,2.774537,-0.1776182
0.9277778,0.8302489,2.259156,-0.1775857
0.9833333,0.8005021,1.771739,-0.1777642
1.038889,0.7689441,1.350809,-0.1777639
1.094444,0.7354505,0.993744,-0.1776101
1.15,0.6995869,0.6977613,-0.1772527
1.205556,0.6605345,0.4598817,-0.1765193
1.261111,0.6167446,0.276862,-0.1749157
1.316667,0.5648668,0.1450657,-0.1708758
1.372222,0.4956371,0.06018521,-0.1591336
1.416667,0.2994226,0.02521452,-0.002350789
1.45,0.3211177,0.007852863,-0.004014487
1.483333,0.265196,0,-0.007167799
