span,load, , 
-1.473121,0, , 
-1.465614,0.000171796, , 
-1.450639,0.002258453, , 
-1.428272,0.01147392, , 
-1.398626,0.0379636, , 
-1.361854,0.09778664, , 
-1.318142,0.2134605, , 
-1.267713,0.4141332, , 
-1.210824,0.7354452, , 
-1.147764,1.219121, , 
-1.078857,1.912317, , 
-1.004451,2.86673, , 
-0.9249271,4.137481, , 
-0.8406899,5.781764, , 
-0.7521687,7.857273, , 
-0.6598147,10.42043, , 
-0.5640984,13.52444, , 
-0.4655076,17.21718, , 
-0.3645447,21.53907, , 
-0.2617241,26.52086, , 
-0.1575698,32.18144, , 
-0.05261265,38.52569, , 
0.05261265,38.52569, , 
0.1575698,32.18144, , 
0.2617241,26.52086, , 
0.3645447,21.53907, , 
0.4655076,17.21718, , 
0.5640984,13.52444, , 
0.6598147,10.42043, , 
0.7521687,7.857273, , 
0.8406899,5.781764, , 
0.9249271,4.137481, , 
1.004451,2.86673, , 
1.078857,1.912317, , 
1.147764,1.219121, , 
1.210824,0.7354452, , 
1.267713,0.4141332, , 
1.318142,0.2134605, , 
1.361854,0.09778664, , 
1.398626,0.0379636, , 
1.428272,0.01147392, , 
1.450639,0.002258453, , 
1.465614,0.000171796, , 
1.473121,0, , 
