span,load, , 
-1.473121,0.01218641, , 
-1.465614,0.01764164, , 
-1.450639,0.02124214, , 
-1.428272,0.02302842, , 
-1.398626,0.0236013, , 
-1.361854,0.02346954, , 
-1.318142,0.0230223, , 
-1.267713,0.02253431, , 
-1.210824,0.02217878, , 
-1.147764,0.02205737, , 
-1.078857,0.02222721, , 
-1.004451,0.02271685, , 
-0.9249271,0.02354147, , 
-0.8406899,0.02470463, , 
-0.7521687,0.0262102, , 
-0.6598147,0.02806221, , 
-0.5640984,0.03027279, , 
-0.4655076,0.03286623, , 
-0.3645447,0.03589101, , 
-0.2617241,0.0394645, , 
-0.1575698,0.04388737, , 
-0.05261265,0.050343, , 
0.05261265,0.050343, , 
0.1575698,0.04388737, , 
0.2617241,0.0394645, , 
0.3645447,0.03589101, , 
0.4655076,0.03286623, , 
0.5640984,0.03027279, , 
0.6598147,0.02806221, , 
0.7521687,0.0262102, , 
0.8406899,0.02470463, , 
0.9249271,0.02354147, , 
1.004451,0.02271685, , 
1.078857,0.02222721, , 
1.147764,0.02205737, , 
1.210824,0.02217878, , 
1.267713,0.02253431, , 
1.318142,0.0230223, , 
1.361854,0.02346954, , 
1.398626,0.0236013, , 
1.428272,0.02302842, , 
1.450639,0.02124214, , 
1.465614,0.01764164, , 
1.473121,0.01218641, , 
