span,load, , 
-1.473121,0.1160528, , 
-1.465614,0.1971836, , 
-1.450639,0.2779514, , 
-1.428272,0.3524262, , 
-1.398626,0.4202744, , 
-1.361854,0.4821483, , 
-1.318142,0.53902, , 
-1.267713,0.5919108, , 
-1.210824,0.6417424, , 
-1.147764,0.6892731, , 
-1.078857,0.735079, , 
-1.004451,0.7795535, , 
-0.9249271,0.8229218, , 
-0.8406899,0.8652493, , 
-0.7521687,0.9064644, , 
-0.6598147,0.9463672, , 
-0.5640984,0.9846398, , 
-0.4655076,1.020842, , 
-0.3645447,1.05439, , 
-0.2617241,1.084514, , 
-0.1575698,1.110077, , 
-0.05261265,1.128895, , 
0.05261265,1.128895, , 
0.1575698,1.110077, , 
0.2617241,1.084514, , 
0.3645447,1.05439, , 
0.4655076,1.020842, , 
0.5640984,0.9846398, , 
0.6598147,0.9463672, , 
0.7521687,0.9064644, , 
0.8406899,0.8652493, , 
0.9249271,0.8229218, , 
1.004451,0.7795535, , 
1.078857,0.735079, , 
1.147764,0.6892731, , 
1.210824,0.6417424, , 
1.267713,0.5919108, , 
1.318142,0.53902, , 
1.361854,0.4821483, , 
1.398626,0.4202744, , 
1.428272,0.3524262, , 
1.450639,0.2779514, , 
1.465614,0.1971836, , 
1.473121,0.1160528, , 
