span,cl,BM,cm
-1.475,0.361952,0,-0.001019424
-1.425,0.4153105,0.02411541,0.004402555
-1.316667,0.695831,0.1363181,-0.1725453
-1.15,0.8333804,0.8290762,-0.1773282
-0.9833333,0.937639,2.144771,-0.1775928
-0.898463,0.9700381,3.171666,-0.1815437
-0.8923256,0.9750397,3.246419,-0.1790998
-0.8800927,0.9845496,3.398366,-0.1779881
-0.8618479,0.9963628,3.632369,-0.1776214
-0.8377158,1.009818,3.955613,-0.1776214
-0.8078612,1.024582,4.377445,-0.177761
-0.7724881,1.040453,4.909111,-0.1779248
-0.7318381,1.057281,5.563424,-0.1780624
-0.686189,1.074929,6.354337,-0.1781568
-0.6358525,1.093252,7.296452,-0.178206
-0.5811724,1.11209,8.404458,-0.1782135
-0.5225224,1.13126,9.692517,-0.1781831
-0.460303,1.150543,11.17361,-0.1781179
-0.3949393,1.169679,12.85883,-0.1780187
-0.3268777,1.188342,14.75674,-0.1778843
-0.2565832,1.206101,16.87265,-0.1777108
-0.184536,1.222358,19.208,-0.1774927
-0.1112283,1.23619,21.75974,-0.1772319
-0.03716071,1.245938,24.51977,-0.1769907
0.03716071,1.245938,24.51976,-0.1769907
0.1112283,1.23619,21.75972,-0.1772319
0.184536,1.222358,19.20799,-0.1774927
0.2565832,1.206101,16.87264,-0.1777108
0.3268777,1.188342,14.75673,-0.1778843
0.3949393,1.169679,12.85882,-0.1780187
0.460303,1.150543,11.1736,-0.1781179
0.5225224,1.13126,9.692509,-0.1781831
0.5811724,1.11209,8.404451,-0.1782135
0.6358525,1.093252,7.296445,-0.178206
0.686189,1.074929,6.354331,-0.1781568
0.7318381,1.057281,5.563419,-0.1780624
0.7724881,1.040453,4.909107,-0.1779248
0.8078612,1.024582,4.377441,-0.177761
0.8377158,1.009818,3.95561,-0.1776214
0.8618479,0.9963628,3.632365,-0.1776214
0.8800927,0.9845496,3.398363,-0.1779881
0.8923256,0.9750397,3.246415,-0.1790998
0.898463,0.9700381,3.171663,-0.1815437
0.9833333,0.937639,2.144771,-0.1775928
1.15,0.8333804,0.8290762,-0.1773282
1.316667,0.695831,0.1363181,-0.1725453
1.425,0.4153105,0.02411541,0.004402555
1.475,0.361952,0,-0.001019424
