XFLR5 v6.02 Beta

Wing name :, Preliminary Plane
Wing polar name :, T1-15.1 m/s-VLM2-Inviscid
Freestream speed :, 15.1 m/s

alpha, CL, ICd, PCd, TCd, CY, GCm, GRm,GYm, IYm, QInf, XCP
 _________,  ________,   ________,  _________,  _________,  _________,  _________,  _________,  _________,  _________,  _________,  _________
   -5.000,  -0.014778,   0.002676,   0.000000,   0.002676,   0.000000,  -0.146460,   0.000000,  -0.000000,  -0.000000,   15.1000,    -3.3518
   -4.500,   0.027943,   0.002733,   0.000000,   0.002733,   0.000000,  -0.161918,  -0.000000,   0.000000,   0.000000,   15.1000,     1.9575
   -4.000,   0.070676,   0.002909,   0.000000,   0.002909,   0.000000,  -0.177392,   0.000000,  -0.000000,  -0.000000,   15.1000,     0.8469
   -3.500,   0.113411,   0.003206,   0.000000,   0.003206,   0.000000,  -0.192877,  -0.000000,  -0.000000,  -0.000000,   15.1000,     0.5733
   -3.000,   0.156139,   0.003623,   0.000000,   0.003623,   0.000000,  -0.208369,  -0.000000,  -0.000000,  -0.000000,   15.1000,     0.4494
   -2.500,   0.198851,   0.004160,   0.000000,   0.004160,   0.000000,  -0.223862,  -0.000000,  -0.000000,  -0.000000,   15.1000,     0.3787
   -2.000,   0.241536,   0.004817,   0.000000,   0.004817,   0.000000,  -0.239353,  -0.000000,   0.000000,   0.000000,   15.1000,     0.3331
   -1.500,   0.284186,   0.005594,   0.000000,   0.005594,   0.000000,  -0.254837,  -0.000000,   0.000000,   0.000000,   15.1000,     0.3012
   -1.000,   0.326790,   0.006490,   0.000000,   0.006490,   0.000000,  -0.270308,   0.000000,   0.000000,   0.000000,   15.1000,     0.2776
   -0.500,   0.369339,   0.007506,   0.000000,   0.007506,   0.000000,  -0.285762,  -0.000000,   0.000000,   0.000000,   15.1000,     0.2595
    0.000,   0.411824,   0.008639,   0.000000,   0.008639,   0.000000,  -0.301194,   0.000000,   0.000000,   0.000000,   15.1000,     0.2451
    0.500,   0.454235,   0.009891,   0.000000,   0.009891,   0.000000,  -0.316600,  -0.000000,  -0.000000,  -0.000000,   15.1000,     0.2335
    1.000,   0.496563,   0.011260,   0.000000,   0.011260,   0.000000,  -0.331975,   0.000000,   0.000000,   0.000000,   15.1000,     0.2238
    1.500,   0.538798,   0.012746,   0.000000,   0.012746,   0.000000,  -0.347314,   0.000000,  -0.000000,  -0.000000,   15.1000,     0.2157
    2.000,   0.580931,   0.014347,   0.000000,   0.014347,   0.000000,  -0.362613,   0.000000,  -0.000000,  -0.000000,   15.1000,     0.2088
    2.500,   0.622953,   0.016063,   0.000000,   0.016063,   0.000000,  -0.377867,  -0.000000,   0.000000,   0.000000,   15.1000,     0.2029
    3.000,   0.664855,   0.017892,   0.000000,   0.017892,   0.000000,  -0.393071,  -0.000000,  -0.000000,  -0.000000,   15.1000,     0.1977
    3.500,   0.706627,   0.019834,   0.000000,   0.019834,   0.000000,  -0.408221,  -0.000000,  -0.000000,  -0.000000,   15.1000,     0.1932
    4.000,   0.748260,   0.021887,   0.000000,   0.021887,   0.000000,  -0.423311,   0.000000,  -0.000000,  -0.000000,   15.1000,     0.1892
    4.500,   0.789745,   0.024050,   0.000000,   0.024050,   0.000000,  -0.438338,   0.000000,   0.000000,   0.000000,   15.1000,     0.1856
    5.000,   0.831074,   0.026322,   0.000000,   0.026322,   0.000000,  -0.453297,  -0.000000,  -0.000000,  -0.000000,   15.1000,     0.1824
    5.500,   0.872237,   0.028700,   0.000000,   0.028700,   0.000000,  -0.468184,  -0.000000,   0.000000,   0.000000,   15.1000,     0.1795
    6.000,   0.913225,   0.031184,   0.000000,   0.031184,   0.000000,  -0.482993,  -0.000000,   0.000000,   0.000000,   15.1000,     0.1769
    6.500,   0.954030,   0.033772,   0.000000,   0.033772,   0.000000,  -0.497720,  -0.000000,  -0.000000,  -0.000000,   15.1000,     0.1746
    7.000,   0.994644,   0.036462,   0.000000,   0.036462,   0.000000,  -0.512361,  -0.000000,  -0.000000,  -0.000000,   15.1000,     0.1725
    7.500,   1.035057,   0.039253,   0.000000,   0.039253,   0.000000,  -0.526911,   0.000000,   0.000000,   0.000000,   15.1000,     0.1705
    8.000,   1.075261,   0.042142,   0.000000,   0.042142,   0.000000,  -0.541367,   0.000000,  -0.000000,  -0.000000,   15.1000,     0.1687
    8.500,   1.115248,   0.045127,   0.000000,   0.045127,   0.000000,  -0.555722,  -0.000000,   0.000000,   0.000000,   15.1000,     0.1671
    9.000,   1.155010,   0.048207,   0.000000,   0.048207,   0.000000,  -0.569974,   0.000000,   0.000000,   0.000000,   15.1000,     0.1656
    9.500,   1.194538,   0.051379,   0.000000,   0.051379,   0.000000,  -0.584118,   0.000000,   0.000000,   0.000000,   15.1000,     0.1642
   10.000,   1.233825,   0.054641,   0.000000,   0.054641,   0.000000,  -0.598149,  -0.000000,   0.000000,   0.000000,   15.1000,     0.1630


