,VLM2 -    2.0°-15.00m/s
-1.38375,0.01710485
-1.16125,0.07027342
-1.025,0.1959027
-0.975,0.3260644
-0.8375,0.4887733
-0.6125,0.6611224
-0.4991461,0.6797759
-0.4957364,0.6921196
-0.4889404,0.7048763
-0.4788044,0.717046
-0.4653976,0.728505
-0.4488118,0.7392505
-0.4291601,0.7493001
-0.4065767,0.7586668
-0.3812161,0.767353
-0.3532514,0.7753501
-0.3228736,0.7826414
-0.2902902,0.7892047
-0.2557239,0.7950155
-0.2194107,0.800049
-0.1815987,0.8042821
-0.1425462,0.8076944
-0.10252,0.8102688
-0.06179348,0.8119924
-0.02064484,0.8128564
0.02064484,0.8128564
0.06179348,0.8119924
0.10252,0.8102688
0.1425462,0.8076944
0.1815987,0.8042821
0.2194107,0.800049
0.2557239,0.7950155
0.2902902,0.7892047
0.3228736,0.7826414
0.3532514,0.7753501
0.3812161,0.767353
0.4065767,0.7586668
0.4291601,0.7493001
0.4488118,0.7392505
0.4653976,0.728505
0.4788044,0.717046
0.4889404,0.7048763
0.4957364,0.6921196
0.4991461,0.6797759
0.6125,0.6611224
0.8375,0.4887733
0.975,0.3260644
1.025,0.1959027
1.16125,0.07027342
1.38375,0.01710485
