Span,cl,BM,cm
-1.4915,0.075633,0,0.002453083
-1.4745,0.1119492,0.000795257,0.00161317
-1.4575,0.138451,0.002767623,-0.000194736
-1.4405,0.1602357,0.006195758,-0.002710849
-1.4235,0.1793493,0.01130872,-0.006076671
-1.4065,0.1969644,0.01830748,-0.01074631
-1.3895,0.2139849,0.02737727,-0.01766829
-1.3725,0.2314046,0.03869703,-0.02889491
-1.3555,0.2509201,0.05244994,-0.04978574
-1.3385,0.2775458,0.06884119,-0.1019159
-1.322333,0.3479917,0.08720421,-0.1675623
-1.307,0.39923,0.1076287,-0.1569336
-1.291667,0.439932,0.131504,-0.1577338
-1.276333,0.4747971,0.159182,-0.1596851
-1.261,0.5059315,0.1909641,-0.1614444
-1.245667,0.5344603,0.2271195,-0.162833
-1.230333,0.5610541,0.2678946,-0.1638795
-1.215,0.5861415,0.3135195,-0.1646422
-1.199667,0.6100096,0.3642109,-0.1651718
-1.184333,0.6328559,0.4201753,-0.1655043
-1.169,0.6548158,0.48161,-0.1656611
-1.153667,0.6759763,0.5487049,-0.1656488
-1.138333,0.696376,0.621643,-0.1654563
-1.123,0.7159804,0.7006006,-0.1650463
-1.107667,0.7345465,0.7857471,-0.1643291
-1.094211,0.749455,0.8660346,-0.1651646
-1.082632,0.7592227,0.9388193,-0.1669454
-1.071053,0.7678681,1.015344,-0.168304
-1.059474,0.7758389,1.095651,-0.1693938
-1.047895,0.7833074,1.179779,-0.1702952
-1.036316,0.7903666,1.267765,-0.1710565
-1.024737,0.7970766,1.359645,-0.1717091
-1.013158,0.8034799,1.455451,-0.1722751
-1.001579,0.809609,1.555215,-0.1727706
-0.99,0.8154897,1.658966,-0.1732078
-0.9784211,0.8211435,1.766734,-0.1735961
-0.9668421,0.8265881,1.878547,-0.173943
-0.9552632,0.8318391,1.994432,-0.1742545
-0.9436842,0.8369099,2.114413,-0.1745356
-0.9321053,0.8418124,2.238517,-0.1747901
-0.9205263,0.8465571,2.366768,-0.1750215
-0.9089474,0.8511536,2.499188,-0.1752326
-0.8973684,0.8556103,2.6358,-0.1754258
-0.8857895,0.8599352,2.776627,-0.1756031
-0.8742105,0.8641353,2.92169,-0.1757661
-0.8626316,0.8682172,3.071009,-0.1759165
-0.8510526,0.8721867,3.224604,-0.1760554
-0.8394737,0.8760494,3.382496,-0.1761841
-0.8278947,0.8798105,3.544702,-0.1763034
-0.8163158,0.8834746,3.711242,-0.1764143
-0.8047368,0.8870461,3.882134,-0.1765174
-0.7931579,0.8905291,4.057394,-0.1766135
-0.7815789,0.8939274,4.237041,-0.1767031
-0.77,0.8972446,4.421091,-0.1767868
-0.7584211,0.9004839,4.609561,-0.176865
-0.7468421,0.9036486,4.802465,-0.1769381
-0.7352632,0.9067413,4.999821,-0.1770066
-0.7236842,0.909765,5.201643,-0.1770707
-0.7121053,0.9127222,5.407945,-0.1771308
-0.7005263,0.9156151,5.618744,-0.177187
-0.6889474,0.9184462,5.834052,-0.1772398
-0.6773684,0.9212174,6.053884,-0.1772892
-0.6657895,0.9239308,6.278253,-0.1773355
-0.6542105,0.9265882,6.507173,-0.1773789
-0.6426316,0.9291915,6.740657,-0.1774196
-0.6310526,0.9317422,6.978718,-0.1774576
-0.6194737,0.9342418,7.221368,-0.1774932
-0.6078947,0.9366919,7.468619,-0.1775264
-0.5963158,0.9390938,7.720484,-0.1775575
-0.5847368,0.9414488,7.976975,-0.1775864
-0.5731579,0.9437581,8.238102,-0.1776133
-0.5615789,0.9460227,8.503878,-0.1776383
-0.55,0.9482438,8.774314,-0.1776615
-0.5384211,0.9504223,9.04942,-0.1776829
-0.5268421,0.9525592,9.329207,-0.1777026
-0.5152632,0.9546553,9.613686,-0.1777207
-0.5036842,0.9567113,9.902867,-0.1777372
-0.4921053,0.9587281,10.19676,-0.1777522
-0.4805263,0.9607062,10.49538,-0.1777658
-0.4689474,0.9626464,10.79872,-0.1777779
-0.4573684,0.9645491,11.10681,-0.1777886
-0.4457895,0.9664148,11.41965,-0.177798
-0.4342105,0.968244,11.73725,-0.177806
-0.4226316,0.9700372,12.05962,-0.1778128
-0.4110526,0.9717946,12.38677,-0.1778183
-0.3994737,0.9735166,12.7187,-0.1778226
-0.3878947,0.9752034,13.05543,-0.1778257
-0.3763158,0.9768551,13.39696,-0.1778275
-0.3647368,0.9784721,13.7433,-0.1778282
-0.3531579,0.9800542,14.09447,-0.1778277
-0.3415789,0.9816017,14.45046,-0.177826
-0.33,0.9831144,14.81128,-0.1778231
-0.3184211,0.9845923,15.17695,-0.1778191
-0.3068421,0.9860353,15.54746,-0.1778139
-0.2952632,0.9874432,15.92284,-0.1778076
-0.2836842,0.9888158,16.30307,-0.1778001
-0.2721053,0.9901527,16.68818,-0.1777914
-0.2605263,0.9914536,17.07816,-0.1777815
-0.2489474,0.9927181,17.47303,-0.1777705
-0.2373684,0.9939456,17.87279,-0.1777583
-0.2257895,0.9951355,18.27744,-0.1777448
-0.2142105,0.9962872,18.687,-0.1777302
-0.2026316,0.9973999,19.10146,-0.1777143
-0.1910526,0.9984727,19.52083,-0.1776972
