,VLM1 -    0.5°-15.00m/s, , 
       -1.475,      0.361952, , 
       -1.425,     0.4153105, , 
    -1.316667,      0.695831, , 
        -1.15,     0.8333804, , 
   -0.9833333,      0.937639, , 
    -0.898463,     0.9700381, , 
   -0.8923256,     0.9750397, , 
   -0.8800927,     0.9845496, , 
   -0.8618479,     0.9963628, , 
   -0.8377158,      1.009818, , 
   -0.8078612,      1.024582, , 
   -0.7724881,      1.040453, , 
   -0.7318381,      1.057281, , 
    -0.686189,      1.074929, , 
   -0.6358525,      1.093252, , 
   -0.5811724,       1.11209, , 
   -0.5225224,       1.13126, , 
    -0.460303,      1.150543, , 
   -0.3949393,      1.169679, , 
   -0.3268777,      1.188342, , 
   -0.2565832,      1.206101, , 
    -0.184536,      1.222358, , 
   -0.1112283,       1.23619, , 
  -0.03716071,      1.245938, , 
   0.03716071,      1.245938, , 
    0.1112283,       1.23619, , 
     0.184536,      1.222358, , 
    0.2565832,      1.206101, , 
    0.3268777,      1.188342, , 
    0.3949393,      1.169679, , 
     0.460303,      1.150543, , 
    0.5225224,       1.13126, , 
    0.5811724,       1.11209, , 
    0.6358525,      1.093252, , 
     0.686189,      1.074929, , 
    0.7318381,      1.057281, , 
    0.7724881,      1.040453, , 
    0.8078612,      1.024582, , 
    0.8377158,      1.009818, , 
    0.8618479,     0.9963628, , 
    0.8800927,     0.9845496, , 
    0.8923256,     0.9750397, , 
     0.898463,     0.9700381, , 
    0.9833333,      0.937639, , 
         1.15,     0.8333804, , 
     1.316667,      0.695831, , 
        1.425,     0.4153105, , 
        1.475,      0.361952, , 

